COMPLETE CITY NAME,CITY,COUNTRY,HOBBIES,MARKET,RENT,TRANSPORT,UTILITIES,SALARY,TOTAL EXPENSES,TOTAL SAVINGS
"Amsterdam, Netherlands",Amsterdam,Netherlands,127.35774647887325,224.49908422679746,1145.3333333333333,93.0,196.72897928594813,2506.0943396226417,1786.919143324952,719.1751962976896
"Barcelona, Spain",Barcelona,Spain,110.48958333333334,168.72419638551054,732.258064516129,50.0,181.87907476520252,1339.975076923077,1243.3509190001755,96.62415792290153
"Basel, Switzerland",Basel,Switzerland,214.2695238095238,501.0700444445557,1004.6666666666667,70.4,236.82888074888075,4632.597688888888,2027.235115669627,2605.3625732192613
"Berlin, Germany",Berlin,Germany,82.03030303030303,182.01852555394703,656.8880597014926,81.0,276.0314517361958,2150.899543378995,1277.9683400219383,872.9312033570568
"Bern, Switzerland",Bern,Switzerland,169.19466666666668,468.054400001929,753.8666666666666,69.52,212.32927960927958,4594.969655123495,1672.9650129445417,2922.004642178953
"Brno, Czech Republic",Brno,Czech Republic,66.0111111111111,136.66949144627375,400.725,21.45,156.35878502415454,963.0001875,781.2143875815395,181.7857999184605
"Brussels, Belgium",Brussels,Belgium,113.32581560283688,232.0021255757178,701.6326530612246,49.0,173.8134226859367,2160.56,1269.774016925716,890.7859830742839
"Copenhagen, Denmark",Copenhagen,Denmark,132.53919354838712,211.171348920059,856.4154716981132,52.0,199.0491472763348,2732.110014656436,1451.175161442894,1280.9348532135418
"Dublin, Ireland",Dublin,Ireland,131.08620689655172,175.84282323510155,1307.3176470588235,120.0,196.44396583709744,2208.6131782945736,1930.6906430275742,277.9225352669994
"Dusseldorf, Germany",Dusseldorf,Germany,94.47826086956522,177.5401181008998,545.0,75.0,250.12075146657853,2394.1176470588234,1142.1391304370436,1251.9785166217798
"Frankfurt, Germany",Frankfurt,Germany,106.27777777777777,183.85970372209175,683.125,89.1,263.7355149434606,2381.827586206897,1326.0979964433302,1055.729589763567
"Geneva, Switzerland",Geneva,Switzerland,210.46666666666667,452.02106266823046,1389.3846153846155,61.6,228.6466318972033,4613.227006666667,2342.118976616716,2271.108030049951
"Hamburg, Germany",Hamburg,Germany,104.15151515151516,187.80405165783864,646.2068965517243,80.0,282.9145196888881,2452.083333333333,1301.0769830499662,1151.0063502833668
"Helsinki, Finland",Helsinki,Finland,126.156,203.2016768213223,730.3773584905659,54.7,170.7829503829504,2395.0,1285.2179856948387,1109.7820143051613
"Lisbon, Portugal",Lisbon,Portugal,84.57283950617284,147.07776020243844,608.3333333333334,37.0,126.375242889758,877.9984848484848,1003.3591759317026,-125.36069108321772
"Ljubljana, Slovenia",Ljubljana,Slovenia,89.38272357723578,164.53103888536992,384.7619047619048,37.0,238.97144101093696,1095.9667567567571,914.6471082354475,181.31964852130966
"London, United Kingdom",London,United Kingdom,161.83595123595506,182.53387703342298,1444.365,175.5,222.4129628657,2300.3634425176615,2186.647791135078,113.71565138258347
"Luxembourg, Luxembourg",Luxembourg,Luxembourg,148.10833333333335,309.3225194805195,1216.6666666666667,25.0,273.14518012422354,3225.714285714286,1972.2426996047432,1253.4715861095426
"Lyon, France",Lyon,France,126.7936507936508,261.64744444444443,526.1111111111112,63.2,177.33701102641317,1899.142857142857,1155.0892173756197,744.0536397672374
"Madrid, Spain",Madrid,Spain,105.85483870967741,164.09485229404302,653.3000253914527,54.6,178.40922102842336,1345.8508465608465,1156.2589374235965,189.59190913725
"Milan, Italy",Milan,Italy,148.94708994708995,225.0286953708222,712.0634920634919,35.0,153.61012880122158,1513.3383838383838,1274.6494061826259,238.68897765575798
"Munich, Germany",Munich,Germany,104.51650000000001,193.48177011909382,826.5925925925926,66.5,254.46345872220752,2466.4542,1445.554321433894,1020.899878566106
"Nuremberg, Germany",Nuremberg,Germany,89.8995,183.13200937629267,515.0,74.0,237.9510314247157,1999.4444444444448,1099.9825408010083,899.4619036434365
"Oslo, Norway",Oslo,Norway,158.26394202898553,298.92709821582497,941.4814814814816,73.60000000000001,215.1691410977643,2950.2077133823436,1687.4416628240565,1262.7660505582871
"Paris, France",Paris,France,137.14656084656085,284.58231941037434,857.5736238805971,75.0,180.4634633934803,1884.3666666666666,1534.7659675310124,349.60069913565417
"Prague, Czech Republic",Prague,Czech Republic,69.13632631578947,141.83754737650167,522.2138613861387,21.45,180.74445300469094,1343.0249716981136,935.3821880831208,407.6427836149928
"Reykjavik, Iceland",Reykjavik,Iceland,167.1013353427836,289.05678894072685,1230.4342105263156,89.79,143.35174788908313,2906.2584793765755,1919.734082698909,986.5243966776663
"Rome, Italy",Rome,Italy,147.2875816993464,215.83227678486543,688.936170212766,35.0,161.51791894788218,1388.958333333333,1248.57394764486,140.384385688473
"Stockholm, Sweden",Stockholm,Sweden,117.02837239583332,224.10831985464677,755.3532393869557,81.7,104.79882225463749,2343.126180555556,1282.9887538920734,1060.1374266634825
"Stuttgart, Germany",Stuttgart,Germany,102.7844,170.6846561929395,645.0,80.0,218.4170184349196,2368.2753623188405,1216.8860746278592,1151.3892876909813
"Tallinn, Estonia",Tallinn,Estonia,101.98412698412699,128.073772889675,343.09523809523813,23.0,210.77083497539348,1089.2593220338983,806.9239729444337,282.33534908946467
"Vienna, Austria",Vienna,Austria,93.51612903225806,228.18281225149474,639.8076923076923,40.0,187.50686302996544,1895.0505952380954,1189.0134966214105,706.037098616685
"Zurich, Switzerland",Zurich,Switzerland,199.39944444444444,494.81514873749967,1186.7551219512195,74.8,204.3489376536147,5214.603151224303,2160.1186527867785,3054.484498437524
