Cantidad;CITY_NAME;;GLOBAL;EUROPE;BUSINESS INSIDER;Currency;to EUR;Population
1;Zurich;Switzerland;1;1;2;CHF;0,88; 402.762 
2;Geneva;Switzerland;1;1;6;CHF;0,88; 198.979 
3;Basel;Switzerland;1;1;8;CHF;0,88; 171.017 
4;Bern;Switzerland;1;1;11;CHF;0,88; 133.115 
5;Amsterdam;Netherland;2;2;9;EUR;1; 821.752 
6;Stockholm;Sweden;3;3;14;SEK;0,095; 960.031 
7;London;United Kingdom;4;4;24;GBP;1,17; 8.136.000 
8;Helsinki;Finland;7;5;19;EUR;1; 631.695 
9;Copenhagen;Denmark;8;6;7;DKK;0,13; 602.481 
10;Munich;Germany;9;7;3;EUR;1; 1.450.000 
11;Dusseldorf;Germany;9;7;4;EUR;1; 612.178 
12;Frankfurt;Germany;9;7;5;EUR;1; 736.414 
13;Berlin;Germany;9;7;10;EUR;1; 3.575.000 
14;Hamburg;Germany;9;7;13;EUR;1; 1.810.000 
15;Nuremberg;Germany;9;7;15;EUR;1; 509.975 
16;Stuttgart;Germany;9;7;18;EUR;1; 628.032 
17;Dublin;Ireland;10;8;20;EUR;1; 527.612 
18;Luxembourg;Luxembourg;15;9;12;EUR;1; 590.667 
19;Paris;France;16;10;22;EUR;1; 2.200.000 
20;Lyon;France;16;10;23;EUR;1; 500.715 
21;Oslo;Norway;19;11;16;NOK;0,1; 634.293 
22;Vienna;Austria;21;12;1;EUR;1; 1.868.000 
23;Reykjavik;Iceland;23;13;n/a;ISK;0,0073; 122.853 
24;Tallinn;Estonia;24;14;n/a;EUR;1; 426.538 
25;Brussels;Belgium;25;15;17;EUR;1; 1.199.000 
26;Prague;Czech Republic;27;16;n/a;CZK;0,039; 1.281.000 
27;Brno;Czech Republic;27;16;n/a;CZK;0,039; 377.973 
28;Madrid;Spain;28;17;n/a;EUR;1; 3.166.000 
29;Barcelona;Spain;28;17;n/a;EUR;1; 1.609.000 
30;Ljubljana;Slovenia;30;18;n/a;EUR;1; 279.631 
31;Rome;Italy;31;19;n/a;EUR;1; 2.873.000 
32;Milan;Italy;31;19;n/a;EUR;1; 1.352.000 
33;Lisbon;Portugal;32;20;21;EUR;1; 504.718 
