,city_id,city_name,item_id,item_name,lowest_price,highest_price,average_price,currency,contributors,data_points,toEur
0,6379,"Zurich, Switzerland",1,"Meal, Inexpensive Restaurant, Restaurants",20,30,25,CHF,321,37,0.88
1,6379,"Zurich, Switzerland",2,"Meal for 2 People, Mid-range Restaurant, Three-course, Restaurants",70,120,100,CHF,321,37,0.88
2,6379,"Zurich, Switzerland",3,"McMeal at McDonalds (or Equivalent Combo Meal), Restaurants",12,17,14,CHF,321,28,0.88
3,6379,"Zurich, Switzerland",4,"Domestic Beer (0.5 liter draught), Restaurants",5,8,7,CHF,321,31,0.88
4,6379,"Zurich, Switzerland",5,"Imported Beer (0.33 liter bottle), Restaurants",5,8,6,CHF,321,29,0.88
5,6379,"Zurich, Switzerland",6,"Coke/Pepsi (0.33 liter bottle), Restaurants",3,5,4.053571429,CHF,321,28,0.88
6,6379,"Zurich, Switzerland",7,"Water (0.33 liter bottle) , Restaurants",2.5,5,3.634615385,CHF,321,26,0.88
7,6379,"Zurich, Switzerland",8,"Milk (regular), (1 liter), Markets",1.5,2,1.7425,CHF,321,20,0.88
8,6379,"Zurich, Switzerland",9,"Loaf of Fresh White Bread (500g), Markets",2,4,2.704545455,CHF,321,22,0.88
9,6379,"Zurich, Switzerland",11,"Eggs (regular) (12), Markets",4,8,5.336521739,CHF,321,23,0.88
10,6379,"Zurich, Switzerland",12,"Local Cheese (1kg), Markets",16,40,25.16571429,CHF,321,21,0.88
11,6379,"Zurich, Switzerland",13,"Water (1.5 liter bottle), Markets",0.9,2,1.241666667,CHF,321,24,0.88
12,6379,"Zurich, Switzerland",14,"Bottle of Wine (Mid-Range), Markets",10,18,12,CHF,321,20,0.88
13,6379,"Zurich, Switzerland",15,"Domestic Beer (0.5 liter bottle), Markets",1.5,3,1.963043478,CHF,321,23,0.88
14,6379,"Zurich, Switzerland",16,"Imported Beer (0.33 liter bottle), Markets",1.89,4,2.651666667,CHF,321,18,0.88
15,6379,"Zurich, Switzerland",17,"Cigarettes 20 Pack (Marlboro), Markets",8,8.8,8,CHF,321,23,0.88
16,6379,"Zurich, Switzerland",18,"One-way Ticket (Local Transport), Transportation",3,4.4,4,CHF,321,59,0.88
17,6379,"Zurich, Switzerland",19,"Chicken Breasts (Boneless, Skinless), (1kg), Markets",16,34,25.85,CHF,321,20,0.88
18,6379,"Zurich, Switzerland",20,"Monthly Pass (Regular Price), Transportation",65.16666667,95,85,CHF,321,56,0.88
19,6379,"Zurich, Switzerland",24,"Gasoline (1 liter), Transportation",1.52,1.8,1.661282051,CHF,321,39,0.88
20,6379,"Zurich, Switzerland",25,"Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car), Transportation",20000,26000,22650,CHF,321,14,0.88
21,6379,"Zurich, Switzerland",26,"Apartment (1 bedroom) in City Centre, Rent Per Month",1200,2400,1749.0625,CHF,321,48,0.88
22,6379,"Zurich, Switzerland",27,"Apartment (1 bedroom) Outside of Centre, Rent Per Month",1000,1800,1340.285714,CHF,321,42,0.88
23,6379,"Zurich, Switzerland",28,"Apartment (3 bedrooms) in City Centre, Rent Per Month",2400,4500,3184.883721,CHF,321,43,0.88
24,6379,"Zurich, Switzerland",29,"Apartment (3 bedrooms) Outside of Centre, Rent Per Month",1800,3500,2433.333333,CHF,321,45,0.88
25,6379,"Zurich, Switzerland",30,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment, Utilities (Monthly)",85,300,174.269965,CHF,321,24,0.88
26,6379,"Zurich, Switzerland",32,"1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans), Utilities (Monthly)",0.13,0.5,0.26,CHF,321,22,0.88
27,6379,"Zurich, Switzerland",33,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL), Utilities (Monthly)",40,80,58.52368421,CHF,321,38,0.88
28,6379,"Zurich, Switzerland",40,"Fitness Club, Monthly Fee for 1 Adult, Sports And Leisure",58.33333333,116.6666667,80.88652482,CHF,321,47,0.88
29,6379,"Zurich, Switzerland",42,"Tennis Court Rent (1 Hour on Weekend), Sports And Leisure",28,55,37.5,CHF,321,20,0.88
30,6379,"Zurich, Switzerland",44,"Cinema, International Release, 1 Seat, Sports And Leisure",17,20,18,CHF,321,54,0.88
31,6379,"Zurich, Switzerland",60,"1 Pair of Jeans (Levis 501 Or Similar), Clothing And Shoes",60,135,110.9981818,CHF,321,33,0.88
32,6379,"Zurich, Switzerland",62,"1 Summer Dress in a Chain Store (Zara, H&M, ...), Clothing And Shoes",30,70,50.528,CHF,321,25,0.88
33,6379,"Zurich, Switzerland",64,"1 Pair of Nike Running Shoes (Mid-Range), Clothing And Shoes",80,160,124.6842105,CHF,321,38,0.88
34,6379,"Zurich, Switzerland",66,"1 Pair of Men Leather Business Shoes, Clothing And Shoes",120,250,171.1534375,CHF,321,32,0.88
35,6379,"Zurich, Switzerland",206,"Toyota Corolla 1.6l 97kW Comfort (Or Equivalent New Car), Transportation",16000,27090,22073.81193,CHF,321,7,0.88
36,6379,"Zurich, Switzerland",224,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child, Childcare",1600,3000,2470.47619,CHF,321,21,0.88
37,6379,"Zurich, Switzerland",100,"Price per Square Meter to Buy Apartment in City Centre, Buy Apartment Price",8000,17000,13145.81818,CHF,321,22,0.88
38,6379,"Zurich, Switzerland",228,"International Primary School, Yearly for 1 Child, Childcare",13589.48433,37000,28428.57143,CHF,321,14,0.88
39,6379,"Zurich, Switzerland",101,"Price per Square Meter to Buy Apartment Outside of Centre, Buy Apartment Price",5200,13000,8298.8,CHF,321,20,0.88
40,6379,"Zurich, Switzerland",105,"Average Monthly Net Salary (After Tax), Salaries And Financing",4500,7850,5915.211774,CHF,321,42,0.88
41,6379,"Zurich, Switzerland",106,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate, Salaries And Financing",1.2,2.3,1.636,CHF,321,20,0.88
42,6379,"Zurich, Switzerland",107,"Taxi Start (Normal Tariff), Transportation",6,8,8,CHF,321,21,0.88
43,6379,"Zurich, Switzerland",108,"Taxi 1km (Normal Tariff), Transportation",3.2,5,3.9,CHF,321,20,0.88
44,6379,"Zurich, Switzerland",109,"Taxi 1hour Waiting (Normal Tariff), Transportation",60,80,79.79999984,CHF,321,11,0.88
45,6379,"Zurich, Switzerland",110,"Apples (1kg), Markets",3,5.05,4.155416667,CHF,321,24,0.88
46,6379,"Zurich, Switzerland",111,"Oranges (1kg), Markets",2,6,3.936666667,CHF,321,15,0.88
47,6379,"Zurich, Switzerland",112,"Potato (1kg), Markets",1.95,4,2.771875,CHF,321,16,0.88
48,6379,"Zurich, Switzerland",113,"Lettuce (1 head), Markets",2,3,2.596428571,CHF,321,14,0.88
49,6379,"Zurich, Switzerland",114,"Cappuccino (regular), Restaurants",4,5.5,4.816205128,CHF,321,39,0.88
50,6379,"Zurich, Switzerland",115,"Rice (white), (1kg), Markets",2,4,2.74047619,CHF,321,21,0.88
51,6379,"Zurich, Switzerland",116,"Tomato (1kg), Markets",3,5.75,4.224,CHF,321,20,0.88
52,6379,"Zurich, Switzerland",118,"Banana (1kg), Markets",2.5,3.5,2.989565217,CHF,321,23,0.88
53,6379,"Zurich, Switzerland",119,"Onion (1kg), Markets",1.95,3,2.426666667,CHF,321,15,0.88
54,6379,"Zurich, Switzerland",121,"Beef Round (1kg) (or Equivalent Back Leg Red Meat), Markets",27.17896866,80,52.66590909,CHF,321,22,0.88
0,6355,"Geneva, Switzerland",1,"Meal, Inexpensive Restaurant, Restaurants",20,28,24,CHF,150,21,0.88
1,6355,"Geneva, Switzerland",2,"Meal for 2 People, Mid-range Restaurant, Three-course, Restaurants",70,120,95,CHF,150,20,0.88
2,6355,"Geneva, Switzerland",3,"McMeal at McDonalds (or Equivalent Combo Meal), Restaurants",12,15,14,CHF,150,21,0.88
3,6355,"Geneva, Switzerland",4,"Domestic Beer (0.5 liter draught), Restaurants",6,8,7,CHF,150,21,0.88
4,6355,"Geneva, Switzerland",5,"Imported Beer (0.33 liter bottle), Restaurants",4.5,8,7,CHF,150,19,0.88
5,6355,"Geneva, Switzerland",6,"Coke/Pepsi (0.33 liter bottle), Restaurants",3,5,4.075,CHF,150,20,0.88
6,6355,"Geneva, Switzerland",7,"Water (0.33 liter bottle) , Restaurants",2,4,3.11,CHF,150,20,0.88
7,6355,"Geneva, Switzerland",8,"Milk (regular), (1 liter), Markets",1.2,2,1.767006463,CHF,150,5,0.88
8,6355,"Geneva, Switzerland",9,"Loaf of Fresh White Bread (500g), Markets",2,4,3.32956199,CHF,150,7,0.88
9,6355,"Geneva, Switzerland",11,"Eggs (regular) (12), Markets",4,7.2,5.2,CHF,150,6,0.88
10,6355,"Geneva, Switzerland",12,"Local Cheese (1kg), Markets",15,23,21.00924524,CHF,150,5,0.88
11,6355,"Geneva, Switzerland",13,"Water (1.5 liter bottle), Markets",0.5,2,1.34,CHF,150,5,0.88
12,6355,"Geneva, Switzerland",14,"Bottle of Wine (Mid-Range), Markets",8,15,12.5,CHF,150,8,0.88
13,6355,"Geneva, Switzerland",15,"Domestic Beer (0.5 liter bottle), Markets",0.7,2.5,1.875,CHF,150,2,0.88
14,6355,"Geneva, Switzerland",16,"Imported Beer (0.33 liter bottle), Markets",2,2.75,2.333333333,CHF,150,3,0.88
15,6355,"Geneva, Switzerland",17,"Cigarettes 20 Pack (Marlboro), Markets",8,8.8,8.55,CHF,150,6,0.88
16,6355,"Geneva, Switzerland",18,"One-way Ticket (Local Transport), Transportation",3,3,3,CHF,150,35,0.88
17,6355,"Geneva, Switzerland",19,"Chicken Breasts (Boneless, Skinless), (1kg), Markets",15,35,24.5,CHF,150,5,0.88
18,6355,"Geneva, Switzerland",20,"Monthly Pass (Regular Price), Transportation",45,70,70,CHF,150,23,0.88
19,6355,"Geneva, Switzerland",24,"Gasoline (1 liter), Transportation",1.57,1.8,1.694761905,CHF,150,21,0.88
20,6355,"Geneva, Switzerland",25,"Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car), Transportation",22600,34000,25000,CHF,150,7,0.88
21,6355,"Geneva, Switzerland",26,"Apartment (1 bedroom) in City Centre, Rent Per Month",1500,2500,1945.652174,CHF,150,23,0.88
22,6355,"Geneva, Switzerland",27,"Apartment (1 bedroom) Outside of Centre, Rent Per Month",1250,2000,1578.846154,CHF,150,26,0.88
23,6355,"Geneva, Switzerland",28,"Apartment (3 bedrooms) in City Centre, Rent Per Month",2700,5000,3614.814815,CHF,150,27,0.88
24,6355,"Geneva, Switzerland",29,"Apartment (3 bedrooms) Outside of Centre, Rent Per Month",2400,3600,2931.481481,CHF,150,27,0.88
25,6355,"Geneva, Switzerland",30,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment, Utilities (Monthly)",106.25,300,191.2257181,CHF,150,21,0.88
26,6355,"Geneva, Switzerland",32,"1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans), Utilities (Monthly)",0.25,0.6,0.39,CHF,150,9,0.88
27,6355,"Geneva, Switzerland",33,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL), Utilities (Monthly)",50,90,68.6,CHF,150,20,0.88
28,6355,"Geneva, Switzerland",40,"Fitness Club, Monthly Fee for 1 Adult, Sports And Leisure",69,150,95.16666667,CHF,150,24,0.88
29,6355,"Geneva, Switzerland",42,"Tennis Court Rent (1 Hour on Weekend), Sports And Leisure",20,30,23.4,CHF,150,10,0.88
30,6355,"Geneva, Switzerland",44,"Cinema, International Release, 1 Seat, Sports And Leisure",18,22,20,CHF,150,24,0.88
31,6355,"Geneva, Switzerland",60,"1 Pair of Jeans (Levis 501 Or Similar), Clothing And Shoes",85,139,113,CHF,150,20,0.88
32,6355,"Geneva, Switzerland",62,"1 Summer Dress in a Chain Store (Zara, H&M, ...), Clothing And Shoes",40,80,60.6875,CHF,150,16,0.88
33,6355,"Geneva, Switzerland",64,"1 Pair of Nike Running Shoes (Mid-Range), Clothing And Shoes",80,160,123.5238095,CHF,150,21,0.88
34,6355,"Geneva, Switzerland",66,"1 Pair of Men Leather Business Shoes, Clothing And Shoes",120,250,176.5,CHF,150,20,0.88
35,6355,"Geneva, Switzerland",206,"Toyota Corolla 1.6l 97kW Comfort (Or Equivalent New Car), Transportation",25000,35000,28550,CHF,150,6,0.88
36,6355,"Geneva, Switzerland",224,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child, Childcare",1200,2750,1825,CHF,150,12,0.88
37,6355,"Geneva, Switzerland",100,"Price per Square Meter to Buy Apartment in City Centre, Buy Apartment Price",11000,15000,12583.33333,CHF,150,12,0.88
